Drug 0
        IC50  Label
Drug 33
        IC50  Label
0   1.044651      0
1   1.393742      0
2   2.221528      0
3   2.227611      0
4   2.423291      0
5   2.500290      0
6   2.542324      0
7   2.601701      0
8   2.683840      0
9   2.747032      0
10  2.768510      0
11  2.818814      0
12  2.831581      0
13  3.007102      0
14  3.183549      0
15  3.188149      0
16  3.328269      0
17  3.394767      0
18  3.435666      0
19  3.463647      0
20  3.540892      0
21  3.565894      0
22  3.734566      1
23  3.753272      1
24  3.958498      1
25  4.090914      1
26  4.115023      1
27  4.193994      1
28  4.205803      1
29  4.213927      1
30  4.235933      1
31  4.260668      1
32  4.313727      1
33  4.331664      1
34  4.355810      1
35  4.458095      1
36  4.510732      1
37  4.558649      1
38  4.590783      1
39  4.841433      1
40  5.034203      1
41  5.312523      1
42  6.187347      1
Drug 34
        IC50  Label
0   1.143529      1
1   1.200759      1
2   1.243481      1
3   1.252562      1
4   1.348736      1
5   1.355643      1
6   1.364717      1
7   1.462550      1
8   1.763763      1
9   1.823164      1
10  2.143810      1
11  2.327797      1
12  2.580521      1
13  2.987576      1
14  3.030009      1
